pod_id,pod_name,data_source,tier,inbox_usage_pct,email_usage_pct,alert_level,profile_label,assigned_segment,segment1_score,segment1_reason,segment2_score,segment2_reason
sim-009,CaseFlow Legal,simulated,Developer,60.0,52.0,none,Simulated Account 9 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,3,"3/3 criteria met -- [met] messages/inbox = 866.7 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 4.00 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 2650 >= messages_received 2550 (outbound/notification-driven, not inbound-driven)",1,"1/3 criteria met -- [not met] messages/thread = 4.00 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 2550 < messages_sent 2650 (inbound client/customer correspondence drives volume); [met] inbox_count 6 >= 4 (multi-mailbox, staff/case-handler-style operation)"
64547b84-3857-41df-843c-289388a5aa83,Acme Corp,real,Free,33.3,4.0,none,Real Account 1 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 120.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 1.18 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 110 >= messages_received 10 (outbound/notification-driven, not inbound-driven)",0,"0/3 criteria met -- [not met] messages/thread = 1.18 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 10 < messages_sent 110 (inbound client/customer correspondence drives volume); [not met] inbox_count 1 < 4 (multi-mailbox, staff/case-handler-style operation)"
3693fc92-1459-49ec-96c7-27e203eb3cd3,Bright Labs,real,Free,33.3,0.5,none,Real Account 2 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 14.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 1.00 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 7 >= messages_received 7 (outbound/notification-driven, not inbound-driven)",1,"1/3 criteria met -- [not met] messages/thread = 1.00 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [met] messages_received 7 >= messages_sent 7 (inbound client/customer correspondence drives volume); [not met] inbox_count 1 < 4 (multi-mailbox, staff/case-handler-style operation)"
7975107e-728e-46c7-baf7-1def13a9d796,Cold Startup,real,Free,33.3,0.2,none,Real Account 3 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 6.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 1.00 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 3 >= messages_received 3 (outbound/notification-driven, not inbound-driven)",1,"1/3 criteria met -- [not met] messages/thread = 1.00 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [met] messages_received 3 >= messages_sent 3 (inbound client/customer correspondence drives volume); [not met] inbox_count 1 < 4 (multi-mailbox, staff/case-handler-style operation)"
sim-001,Fetchly AI,simulated,Free,100.0,95.0,at_cap,Simulated Account 1 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [met] messages/inbox = 950.0 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.60 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 1450 >= messages_received 1400 (outbound/notification-driven, not inbound-driven)",1,"1/3 criteria met -- [met] messages/thread = 4.60 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 1400 < messages_sent 1450 (inbound client/customer correspondence drives volume); [not met] inbox_count 3 < 4 (multi-mailbox, staff/case-handler-style operation)"
sim-002,Parsely Labs,simulated,Free,66.7,73.3,approaching,Simulated Account 2 -- Mixed / inconclusive profile,Mixed / inconclusive,2,"2/3 criteria met -- [met] messages/inbox = 1100.0 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.07 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 1100 >= messages_received 1100 (outbound/notification-driven, not inbound-driven)",2,"2/3 criteria met -- [met] messages/thread = 4.07 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [met] messages_received 1100 >= messages_sent 1100 (inbound client/customer correspondence drives volume); [not met] inbox_count 2 < 4 (multi-mailbox, staff/case-handler-style operation)"
sim-003,Dockwise,simulated,Free,66.7,40.0,none,Simulated Account 3 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 600.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 3.87 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 610 >= messages_received 590 (outbound/notification-driven, not inbound-driven)",0,"0/3 criteria met -- [not met] messages/thread = 3.87 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 590 < messages_sent 610 (inbound client/customer correspondence drives volume); [not met] inbox_count 2 < 4 (multi-mailbox, staff/case-handler-style operation)"
sim-005,RoadSync Dealers,simulated,Free,100.0,16.7,at_cap,Simulated Account 5 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 166.7 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 3.57 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 260 >= messages_received 240 (outbound/notification-driven, not inbound-driven)",0,"0/3 criteria met -- [not met] messages/thread = 3.57 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 240 < messages_sent 260 (inbound client/customer correspondence drives volume); [not met] inbox_count 3 < 4 (multi-mailbox, staff/case-handler-style operation)"
sim-006,Verdict AI,simulated,Free,33.3,1.7,none,Simulated Account 6 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 50.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 2.78 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 28 >= messages_received 22 (outbound/notification-driven, not inbound-driven)",0,"0/3 criteria met -- [not met] messages/thread = 2.78 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 22 < messages_sent 28 (inbound client/customer correspondence drives volume); [not met] inbox_count 1 < 4 (multi-mailbox, staff/case-handler-style operation)"
sim-007,Agentix,simulated,Developer,90.0,88.0,approaching,Simulated Account 7 -- Mixed / inconclusive profile,Mixed / inconclusive,2,"2/3 criteria met -- [met] messages/inbox = 977.8 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.51 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 4500 >= messages_received 4300 (outbound/notification-driven, not inbound-driven)",2,"2/3 criteria met -- [met] messages/thread = 4.51 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 4300 < messages_sent 4500 (inbound client/customer correspondence drives volume); [met] inbox_count 9 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-008,Wrapley,simulated,Developer,100.0,96.0,at_cap,Simulated Account 8 -- Mixed / inconclusive profile,Mixed / inconclusive,2,"2/3 criteria met -- [met] messages/inbox = 960.0 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.57 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 4900 >= messages_received 4700 (outbound/notification-driven, not inbound-driven)",2,"2/3 criteria met -- [met] messages/thread = 4.57 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 4700 < messages_sent 4900 (inbound client/customer correspondence drives volume); [met] inbox_count 10 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-010,DealerPing,simulated,Developer,70.0,61.0,none,Simulated Account 10 -- Mixed / inconclusive profile,Mixed / inconclusive,2,"2/3 criteria met -- [met] messages/inbox = 871.4 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.21 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 3100 >= messages_received 3000 (outbound/notification-driven, not inbound-driven)",2,"2/3 criteria met -- [met] messages/thread = 4.21 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 3000 < messages_sent 3100 (inbound client/customer correspondence drives volume); [met] inbox_count 7 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-011,SupportLoop,simulated,Developer,40.0,26.0,none,Simulated Account 11 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 650.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 3.33 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 1320 >= messages_received 1280 (outbound/notification-driven, not inbound-driven)",1,"1/3 criteria met -- [not met] messages/thread = 3.33 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 1280 < messages_sent 1320 (inbound client/customer correspondence drives volume); [met] inbox_count 4 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-012,TortAI,simulated,Developer,80.0,74.0,approaching,Simulated Account 12 -- Mixed / inconclusive profile,Mixed / inconclusive,2,"2/3 criteria met -- [met] messages/inbox = 925.0 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.62 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 3750 >= messages_received 3650 (outbound/notification-driven, not inbound-driven)",2,"2/3 criteria met -- [met] messages/thread = 4.62 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 3650 < messages_sent 3750 (inbound client/customer correspondence drives volume); [met] inbox_count 8 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-013,AutoScribe,simulated,Developer,50.0,33.0,none,Simulated Account 13 -- Agent infra / dev-tool builder profile,Agent infra / dev-tool builder,2,"2/3 criteria met -- [not met] messages/inbox = 660.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [met] messages/thread = 3.67 <= dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 1680 >= messages_received 1620 (outbound/notification-driven, not inbound-driven)",1,"1/3 criteria met -- [not met] messages/thread = 3.67 <= dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 1620 < messages_sent 1680 (inbound client/customer correspondence drives volume); [met] inbox_count 5 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-014,Compozr,simulated,Startup,30.0,34.7,none,Simulated Account 14 -- Mixed / inconclusive profile,Mixed / inconclusive,2,"2/3 criteria met -- [met] messages/inbox = 1155.6 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.64 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 26500 >= messages_received 25500 (outbound/notification-driven, not inbound-driven)",2,"2/3 criteria met -- [met] messages/thread = 4.64 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 25500 < messages_sent 26500 (inbound client/customer correspondence drives volume); [met] inbox_count 45 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-015,LegalMesh,simulated,Startup,74.7,65.3,none,Simulated Account 15 -- Mixed / inconclusive profile,Mixed / inconclusive,2,"2/3 criteria met -- [met] messages/inbox = 875.0 >= dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.67 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 49500 >= messages_received 48500 (outbound/notification-driven, not inbound-driven)",2,"2/3 criteria met -- [met] messages/thread = 4.67 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 48500 < messages_sent 49500 (inbound client/customer correspondence drives volume); [met] inbox_count 112 >= 4 (multi-mailbox, staff/case-handler-style operation)"
sim-004,Nimbic Legal,simulated,Free,33.3,13.3,none,Simulated Account 4 -- Mixed / inconclusive profile,Mixed / inconclusive,1,"1/3 criteria met -- [not met] messages/inbox = 400.0 < dataset median 763.3 (high per-inbox throughput = API-style dev-tool pattern); [not met] messages/thread = 4.21 > dataset median 4.04 (one-shot/notification-style traffic, not sustained conversations); [met] messages_sent 210 >= messages_received 190 (outbound/notification-driven, not inbound-driven)",1,"1/3 criteria met -- [met] messages/thread = 4.21 > dataset median 4.04 (sustained multi-turn conversations, e.g. case/dealer correspondence); [not met] messages_received 190 < messages_sent 210 (inbound client/customer correspondence drives volume); [not met] inbox_count 1 < 4 (multi-mailbox, staff/case-handler-style operation)"
